"","party","correctYea","wrongYea","wrongNay","correctNay","GMP","CC","coord1D","coord2D","se1D","se2D","corr.1"
"2100000000141","더불어민주당",242,9,1,0,0.901677668094635,0.96031746031746,0.10776074975729,0.11023810505867,0,0,0
"2100000000142","더불어민주당",317,4,0,0,0.921232342720032,0.987538940809969,0.288525521755219,0.11628657579422,0,0,0
"2100000000143","국민의힘",254,11,3,8,0.818315088748932,0.949275362318841,0.851811051368713,0.463093370199203,0,0,0
"2100000000144","더불어민주당",247,5,2,4,0.905060529708862,0.972868217054264,0.0242509264498949,0.488813161849976,0,0,0
"2100000000145","더불어민주당",284,19,2,3,0.823533594608307,0.931818181818182,-0.220337837934494,-0.156035095453262,0,0,0
"2100000000146","국민의힘",256,11,0,4,0.852676868438721,0.959409594095941,0.674460113048553,-0.152651309967041,0,0,0
"2100000000147","더불어민주당",297,6,0,0,0.921575903892517,0.98019801980198,0.241358146071434,0.0570431426167488,0,0,0
"2100000000148","더불어민주당",202,35,5,9,0.678681492805481,0.840637450199203,-0.562345325946808,-0.339288026094437,0,0,0
"2100000000149","무소속",266,9,0,0,0.879724383354187,0.967272727272727,0.159369513392448,-0.045623417943716,0,0,0
"2100000000150","한국의희망",253,3,0,0,0.936900794506073,0.98828125,0.369341373443604,0.3125259578228,0,0,0
"2100000000151","더불어민주당",293,5,0,2,0.940979957580566,0.983333333333333,0.128042459487915,0.29081916809082,0,0,0
"2100000000152","국민의힘",214,17,2,5,0.750208914279938,0.920168067226891,0.75397527217865,-0.25304302573204,0,0,0
"2100000000153","더불어민주당",253,8,1,2,0.897856891155243,0.965909090909091,-0.00965797808021307,-0.0273880958557129,0,0,0
"2100000000154","더불어민주당",227,14,1,1,0.800511479377747,0.938271604938272,-0.122031942009926,-0.22248686850071,0,0,0
"2100000000156","기본소득당",174,38,8,26,0.601969659328461,0.813008130081301,-0.806028306484222,0.492967694997787,0,0,0
"2100000000157","더불어민주당",196,5,0,0,0.904179573059082,0.975124378109453,0.125019133090973,-0.205350384116173,0,0,0
"2100000000158","더불어민주당",162,5,2,3,0.892779111862183,0.959302325581395,-0.0481528416275978,0.468402355909348,0,0,0
"2100000000159","더불어민주당",258,32,6,13,0.739828109741211,0.877022653721683,-0.435167163610458,-0.434236586093903,0,0,0
"2100000000160","국민의힘",218,32,7,10,0.685553550720215,0.853932584269663,0.951197981834412,-0.0905639082193375,0,0,0
