HG_NM,HJ_NM,POLY_NM,ORIG_NM,MEMBER_NO,POLY_CD,ORIG_CD
송옥주,宋玉珠,더불어민주당,경기 화성시갑,2100000000133,101182,80157
송재호,宋在祜,더불어민주당,제주 제주시갑,2100000000134,101182,170011
신동근,申東根,더불어민주당,인천 서구을,2100000000135,101182,40029
신영대,申榮大,더불어민주당,전북 군산시,2100000000136,101182,130005
신원식,申源湜,국민의힘,비례대표,2100000000137,101210,240001
신정훈,辛正勳,더불어민주당,전남 나주시화순군,2100000000138,101182,140007
신현영,申賢榮,더불어민주당,비례대표,2100000000139,101182,240001
심상정,沈相정,정의당,경기 고양시갑,2100000000140,101180,80191
안규백,安圭伯,더불어민주당,서울 동대문구갑,2100000000141,101182,10012
안민석,安敏錫,더불어민주당,경기 오산시,2100000000142,101182,80055
안병길,安炳吉,국민의힘,부산 서구동구,2100000000143,101210,20054
안호영,安浩永,더불어민주당,전북 완주군진안군무주군장수군,2100000000144,101182,130073
양경숙,梁敬淑,더불어민주당,비례대표,2100000000145,101182,240001
양금희,梁琴喜,국민의힘,대구 북구갑,2100000000146,101210,30010
양기대,梁基大,더불어민주당,경기 광명시을,2100000000147,101182,80030
양이원영,梁李媛瑛,더불어민주당,비례대표,2100000000148,101182,240001
양정숙,梁貞淑,무소속,비례대표,2100000000149,101030,240001
양향자,梁香子,한국의희망,광주 서구을,2100000000150,101212,50004
어기구,魚基龜,더불어민주당,충남 당진시,2100000000151,101182,120073
엄태영,嚴泰永,국민의힘,충북 제천시단양군,2100000000152,101210,110007
오기형,吳奇炯,더불어민주당,서울 도봉구을,2100000000153,101182,10026
오영환,吳永煥,더불어민주당,경기 의정부시갑,2100000000154,101182,80015
오영훈,吳怜勳,더불어민주당,제주 제주시을,2100000000155,101182,170012
용혜인,龍慧仁,기본소득당,비례대표,2100000000156,101208,240001
우상호,禹相虎,더불어민주당,서울 서대문구갑,2100000000157,101182,10036
우원식,禹元植,더불어민주당,서울 노원구을,2100000000158,101182,10029
위성곤,魏聖坤,더불어민주당,제주 서귀포시,2100000000159,101182,170013
유경준,兪京濬,국민의힘,서울 강남구병,2100000000160,101210,10098
유기홍,柳基洪,더불어민주당,서울 관악구갑,2100000000161,101182,10062
유동수,柳東秀,더불어민주당,인천 계양구갑,2100000000162,101182,40015
유상범,劉相凡,국민의힘,강원 홍천군횡성군영월군평창군,2100000000163,101210,210035
유의동,兪義東,국민의힘,경기 평택시을,2100000000164,101210,80033
유정주,兪訂炷,더불어민주당,비례대표,2100000000165,101182,240001
윤건영,尹建永,더불어민주당,서울 구로구을,2100000000166,101182,10051
윤관석,尹官石,무소속,인천 남동구을,2100000000167,101030,40011
윤두현,尹斗鉉,국민의힘,경북 경산시,2100000000168,101210,150136
윤미향,尹美香,무소속,비례대표,2100000000169,101030,240001
윤상현,尹相現,국민의힘,인천 동구미추홀구을,2100000000170,101210,210023
윤영덕,尹永德,더불어민주당,광주 동구남구갑,2100000000171,101182,50016
윤영석,尹永碩,국민의힘,경남 양산시갑,2100000000172,101210,160127
윤영찬,尹永燦,더불어민주당,경기 성남시중원구,2100000000173,101182,80009
윤재갑,尹才鉀,더불어민주당,전남 해남군완도군진도군,2100000000174,101182,140102
윤재옥,尹在玉,국민의힘,대구 달서구을,2100000000175,101210,30019
윤주경,尹柱卿,국민의힘,비례대표,2100000000176,101210,240001
윤준병,尹準炳,더불어민주당,전북 정읍시고창군,2100000000177,101182,130075
윤창현,尹暢賢,국민의힘,비례대표,2100000000178,101210,240001
윤한홍,尹漢洪,국민의힘,경남 창원시마산회원구,2100000000179,101210,160120
