"","party","correctYea","wrongYea","wrongNay","correctNay","GMP","CC","coord1D","coord2D","se1D","se2D","corr.1"
"2100000000033","더불어민주당",526,0,0,0,0.99347585439682,1,-0.568850576877594,0.088889442384243,0,0,0
"2100000000034","더불어민주당",435,3,0,0,0.966809749603271,0.993150684931507,-0.493498057126999,0.41271784901619,0,0,0
"2100000000035","더불어민주당",529,2,0,0,0.975646734237671,0.99623352165725,-0.426833242177963,0.34709307551384,0,0,0
"2100000000036","국민의힘",153,55,28,66,0.582184433937073,0.725165562913907,0.675984144210815,-0.365968763828278,0,0,0
"2100000000037","더불어민주당",528,5,0,0,0.948657155036926,0.9906191369606,-0.520292103290558,0.445754617452621,0,0,0
"2100000000038","국민의힘",283,10,0,4,0.899912595748901,0.966329966329966,0.126525953412056,0.207389563322067,0,0,0
"2100000000039","더불어민주당",410,11,0,0,0.88487046957016,0.973871733966746,-0.200352549552917,0.723473727703094,0,0,0
"2100000000040","국민의힘",161,9,1,4,0.843618392944336,0.942857142857143,0.170795723795891,0.97014194726944,0,0,0
"2100000000041","국민의힘",398,58,6,18,0.721665859222412,0.866666666666667,0.414255887269974,-0.412464290857315,0,0,0
"2100000000042","국민의힘",292,36,3,28,0.73731803894043,0.891364902506964,0.442846208810806,0.682468056678772,0,0,0
"2100000000043","더불어민주당",510,13,2,1,0.88429069519043,0.97148288973384,-0.239207580685616,-0.594191908836365,0,0,0
"2100000000044","더불어민주당",403,0,0,0,0.995573401451111,1,-0.765327990055084,0.167457595467567,0,0,0
"2100000000045","더불어민주당",530,0,0,0,0.993451952934265,1,-0.569778442382812,0.0892658457159996,0,0,0
"2100000000046","더불어민주당",512,4,0,0,0.954497098922729,0.992248062015504,-0.481684029102325,-0.195038959383965,0,0,0
"2100000000047","국민의힘",311,69,28,46,0.604993879795074,0.786343612334802,0.53842031955719,-0.686983644962311,0,0,0
"2100000000048","더불어민주당",505,7,0,0,0.937203466892242,0.986328125,-0.4215407371521,0.497846066951752,0,0,0
"2100000000049","더불어민주당",499,0,0,0,0.994439423084259,1,-0.708507180213928,0.160552561283112,0,0,0
"2100000000050","국민의힘",238,68,27,102,0.614173054695129,0.781609195402299,0.70534211397171,-0.267725348472595,0,0,0
"2100000000051","더불어민주당",524,3,0,0,0.972102165222168,0.994307400379507,-0.533809840679169,-0.112721428275108,0,0,0
"2100000000052","더불어민주당",464,1,0,0,0.982137560844421,0.997849462365591,-0.534653067588806,0.112331539392471,0,0,0
